areasymbol,areaname,musym,natmusym,muname,map_order,mukey,dmu_nasis_group,coiid,compname,localphase,comppct_r,comp_acres,majcompflag,compkind,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,particle_size_class,diag_features,temp_regime,moisture_subclass,moisture_regime,MLRA_NASIS,ecosite_id,ecosite_name,rangeprod_l,rangeprod_r,rangeprod_h,oth_veg_class_type,oth_veg_class_id,oth_veg_class_name,coforprod_plantsyms,coeplants_plantsyms,cocanopy_plantsyms,map_l_in,map_r_in,map_h_in,maat_l_f,maat_r_f,maat_h_f,ffd_l,ffd_r,ffd_h,elev_l_ft,elev_r_ft,elev_h_ft,slope_l,slope_r,slope_h,aspect_rep,aspect_cw,aspect_ccw,landscape,landform,geomorph_comp,hillslope_profile,slope_shp_across_down,parent_material,restrict_kind,restrict_depth_l_in,restrict_depth_r_in,restrict_depth_h_in,soil_depth_l_in,soil_depth_r_in,soil_depth_h_in,o_horizon_depth_in,ksat_l_0_10_in,ksat_l_10_40_in,ksat_l_0_40_in,awc_l_0_10_in,awc_r_0_10_in,awc_h_0_10_in,awc_l_0_40_in,awc_r_0_40_in,awc_h_0_40_in,surf_texture,frags_r_2mm_3in_on_surf,frags_lo_2mm_3in_on_surf,frags_hi_2mm_3in_on_surf,frags_r_gt_3in_on_surf,frags_lo_gt_3in_on_surf,frags_hi_gt_3in_on_surf,surfhzn_frags_r_2mm-3in,surfhzn_frags_r_gt_3in,subsurf_frags_r_2mm-3in,subsurf_frags_lo_2mm-3in,subsurf_frags_hi_2mm-3in,subsurf_frags_r_gt_3in,subsurf_frags_lo_gt_3in,subsurf_frags_hi_gt_3in,albedo_dry_r,clay_r_surf_,clay_r_max_0_20in,surf_structure,pH_l_0_10in,pH_h_0_10in,pH_l_10_40in,pH_h_10_40in,CaCO3_l_0_10in,CaCO3_h_0_10in,CaCO3_l_10_40in,CaCO3_h_10_40in,SAR_l_0_10in,SAR_h_0_10in,SAR_l_10_40in,SAR_h_10_40in,EC_l_0_10in,EC_h_0_10in,EC_l_10_40in,EC_h_10_40in,water_table_l_in,water_table_h_in,water_table_months,drainage_class,flood_freq,flood_dur,pond_freq,pond_dur,pond_depth_h,pond_depth_l,pond_depth_rv
CA792,"Sequoia and Kings Canyon National Parks, California",2118,2w873,"Siberian-Lapin, moraine complex, 3 to 30 percent slopes",order 3,2924865,2-SON SEKI,2669146,McGee,,10,307,no,series,Inceptisols,Cryepts,Dystrocryepts,Vitrixerandic Dystrocryepts,loamy-skeletal,"ochric epipedon(0-7), albic horizon(6-12), cambic horizon(12-31), redox concentrations(22-31), densic materials(31-59), densic contact(31-59), reduced matrix(31-59)",Cryic,Oxyaquic,Xeric,22A,F022AB108CA,Very Deep Skeletal Concave North Slopes,,,,,,,,,,34,44,53,35,37,41,60,80,95,9120,10440,11010,5,10,15,46,360,0,mountains,ground moraines on basin floors,mountainbase,footslope,concave/concave,till derived from granite,Densic material,20,31,39,,59,,6,high,moderately high,moderately high,0.4,0.7,1,1.8,3.6,4.7,STV-LS,0,0,10,7,2,33,0,5,15,18,34,6,7,28,0.11,2,15,weak fine subangular blocky structure,4.5,5.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,10,30,"May, June, July",moderately well,none,,frequent,brief,4,0,2
CA792,"Sequoia and Kings Canyon National Parks, California",2118,2w873,"Siberian-Lapin, moraine complex, 3 to 30 percent slopes",order 3,2924865,2-SON SEKI,2588445,Isosceles,dry,10,307,no,series,Inceptisols,Cryepts,Humicryepts,Lithic Humicryepts,loamy,"umbric epipedon(0-9), lithic contact(9-79)",Cryic,Typic,Xeric,22A,R022AB001CA,Shallow Dry Bedrock Pockets,,,,,,,,,,34,44,53,35,37,41,60,80,95,9120,10470,11010,3,20,35,53,360,0,mountains,structural benches on basin floors,mountainbase,backslope,convex/convex,till over residuum weathered from granite,Lithic bedrock,4,9,20,,79,,0,high,,high,0.6,0.9,1.6,0.6,0.9,1.6,GR-COSL,5,2,48,17,2,38,15,4,10,0,18,2,0,17,0.23,3,4,weak very fine granular structure,4.4,5.5,,,0,0,,,0,0,,,0,0,,,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2118,2w873,"Siberian-Lapin, moraine complex, 3 to 30 percent slopes",order 3,2924865,2-SON SEKI,2775976,Ledumhill,,4,123,no,series,Inceptisols,Aquepts,Cryaquepts,Aquandic Cryaquepts,sandy-skeletal,"umbric epipedon(2-18), redox depletions with chroma 2 or less(8-28), redox concentrations(8-33), aquic conditions(8-79), reduced matrix(28-59)",Cryic,Typic,Aquic,22A,F022AX005CA,Discharge slopes and moist toeslopes,,,,,,,,,,34,44,53,35,37,41,60,80,95,9120,10100,11010,2,10,20,220,360,0,mountains,seeps on basin floors,mountainbase,footslope,concave/linear,"organic material over alluvium, slope alluvium, and/or till derived from granite",,,,,,59,,2,moderately high,high,moderately high,0.9,1.5,2.1,1.7,3.3,5,MPT,0,0,5,3,1,14,0,0,10,8,16,16,17,46,0.02,25,25,structureless massive structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,4,12,"May, June, July",poorly,occasional,brief,frequent,brief,8,0,4
CA792,"Sequoia and Kings Canyon National Parks, California",2118,2w873,"Siberian-Lapin, moraine complex, 3 to 30 percent slopes",order 3,2924865,2-SON SEKI,2588447,Rock outcrop,granitic,1,31,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,34,44,53,35,37,41,60,80,95,9120,10250,11010,3,20,35,86,360,0,mountains,roches moutonnees,,,convex/convex,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2045937,Evolution,,33,2487,yes,series,Entisols,Orthents,Cryorthents,Vitrandic Cryorthents,sandy-skeletal,"ochric epipedon(0-7), redox concentrations(30-65), densic materials(43-65), densic contact(43-65), redox depletions with chroma 2 or less(43-65)",Cryic,Typic,Xeric,22A,F022AB111CA,Skeletal Valley Floor Till,,,,,,,,,"PIAL, PIBA, PICOM",24,37,52,34,36,39,60,70,85,8530,10550,11470,5,11,15,125,360,0,mountains,moraines on glacial-valley floors,mountainbase,footslope,linear/linear,till derived from granite,Densic material,39,43,59,,65,,0,high,high,high,0.3,0.6,1,0.6,1.1,2.5,CBV-COSL,1,1,14,7,2,33,5,10,36,20,40,12,12,30,0.09,15,15,weak fine granular structure,4.5,6,5.1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,moderately well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2045943,Siberian,,25,1884,yes,series,Entisols,Orthents,Cryorthents,Vitrandic Cryorthents,sandy-skeletal,"ochric epipedon(0-7), densic materials(46-61), densic contact(46-61)",Cryic,Typic,Xeric,22A,F022AB100CA,"Subalpine, sandy-skeletal, moderately steep slopes",,,,,,,,,"PIAL, PIBA, PICOM",24,37,52,34,36,39,60,70,85,8530,10570,11470,15,18,40,128,360,0,mountains,moraines on glacial-valley floors,mountainbase,footslope,convex/linear,till derived from granite,Densic material,39,46,79,,61,,2,high,high,high,1,1.2,2.1,1.3,2,4,BYV-LCOS,20,2,33,49,3,62,0,15,31,15,38,14,12,41,0.06,15,15,weak medium subangular blocky structure parts to weak coarse subangular blocky structure,4.2,6,4.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2045938,McGee,,10,754,no,series,Inceptisols,Cryepts,Dystrocryepts,Vitrixerandic Dystrocryepts,loamy-skeletal,"ochric epipedon(0-7), albic horizon(6-12), cambic horizon(12-31), redox concentrations(22-31), densic materials(31-59), densic contact(31-59), reduced matrix(31-59)",Cryic,Oxyaquic,Xeric,22A,F022AB108CA,Very Deep Skeletal Concave North Slopes,,,,,,,,,"PIAL, PICOM",24,37,52,34,36,39,60,70,85,8530,10160,11470,8,10,20,46,360,0,mountains,moraines on glacial-valley floors,mountainbase,footslope,concave/concave,till derived from granite,Densic material,20,31,39,,59,,6,high,moderately high,moderately high,0.4,0.7,1,1.8,3.6,4.7,STV-LS,0,0,10,7,2,33,0,5,15,18,34,6,7,28,0.11,2,15,weak fine subangular blocky structure,4.5,5.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,10,30,"May, June, July",moderately well,none,,frequent,brief,4,0,2
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2405862,Isosceles,dry,10,754,no,series,Inceptisols,Cryepts,Humicryepts,Lithic Humicryepts,loamy,"umbric epipedon(0-7), cambic horizon(7-13), lithic contact(13-79)",Cryic,Typic,Xeric,22A,R022AB001CA,Shallow Dry Bedrock Pockets,,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,9490,11470,10,15,20,285,360,0,mountains,structural benches on glacial-valley floors,mountainbase,backslope,linear/convex,slope alluvium over residuum weathered from granite,Lithic bedrock,4,13,20,,13,,0,high,high,high,0.5,1.4,1.7,0.6,1.8,2.1,LFS,20,2,48,8,2,38,10,0,5,0,19,0,0,16,0.23,4,11,weak fine granular structure,4,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2045940,Mendel,occasionally flooded,7,527,no,series,Entisols,Fluvents,Cryofluvents,Vitrandic Cryofluvents,sandy-skeletal,"ochric epipedon(0-7), redox concentrations(8-34)",Cryic,Oxyaquic,Xeric,22A,F022AX003CA,"Steep subalpine, valley bottom riverine system",,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,10570,11470,1,4,5,165,360,0,mountains,flood-plain steps on glacial-valley floors,mountainbase,toeslope,concave/linear,alluvium derived from granite,,,,,,59,,0,high,high,high,0.3,0.5,1.3,0.5,1.4,4,CBV-COSL,0,0,10,0,1,14,20,25,26,24,36,10,1,28,0.09,7,7,"weak fine granular structure, and weak very fine granular structure",4.5,6,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,20,51,"April, May, June",somewhat poorly,occasional,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2250170,Ledumhill,,5,377,no,series,Inceptisols,Aquepts,Cryaquepts,Aquandic Cryaquepts,sandy-skeletal,"umbric epipedon(2-18), redox depletions with chroma 2 or less(8-28), redox concentrations(8-33), aquic conditions(8-79), reduced matrix(28-59)",Cryic,Typic,Aquic,22A,F022AX005CA,Discharge slopes and moist toeslopes,,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,10100,11470,2,10,20,220,360,0,mountains,seeps on glacial-valley floors,mountainbase,footslope,concave/linear,"organic material over alluvium, slope alluvium, and/or till derived from granite",,,,,,59,,2,moderately high,high,moderately high,0.9,1.5,2.1,1.7,3.3,5,MPT,0,0,5,3,1,14,0,0,10,8,16,16,17,46,0.02,25,25,structureless massive structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,4,12,"May, June, July",poorly,occasional,brief,frequent,brief,8,0,4
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2775970,Rockcreek,,3,226,no,series,Inceptisols,Aquepts,Cryaquepts,Histic Cryaquepts,sandy-skeletal,"histic epipedon(0-10), aquic conditions(0-79), redox concentrations(16-65), redox depletions with chroma 2 or less(30-47)",Cryic,Typic,Aquic,22A,R022AX009CA,Subalpine Discharge Slopes,,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,10050,11470,10,25,30,4,360,0,mountains,seeps on glacial-valley floors,lower third of mountainflank,"backslope, footslope",concave/linear,"organic material over alluvium, slope alluvium, and/or till derived from granite",,,,,,65,,16,moderately high,moderately high,moderately high,3,4,5.4,4.7,6.6,9.5,MUCK,0,1,14,5,2,43,0,0,26,23,52,2,2,25,0.02,25,25,structureless massive structure,5.6,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,10,20,"May, June, July",poorly,occasional,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2045942,Rock outcrop,granitic,3,226,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,9940,11470,0,8,15,302,360,0,mountains,structural benches on glacial-valley floors,,,convex/convex,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2045939,Glacierpoint,,2,151,no,series,Inceptisols,Cryepts,Humicryepts,Xeric Humicryepts,sandy-skeletal,umbric epipedon(0-12),Cryic,Typic,Xeric,22A,R022AB010CA,Subalpine Sandy Talus,,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,9780,11470,8,14,20,155,360,0,mountains,talus slopes on glacial-valley floors,mountainbase,"backslope, footslope",linear/linear,colluvium derived from granite,,,,,,59,,0,high,high,high,0.2,0.3,1.1,0.6,1,2.9,GRV-LS,15,4,19,25,16,44,35,5,38,19,45,12,12,33,0.09,4,5,strong very fine granular structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2124,2r1cb,"Evolution-Siberian complex, 5 to 40 percent slopes",order 3,2777238,2-SON SEKI,2588438,Water,,2,151,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,24,37,52,34,36,39,60,70,85,8530,9940,11470,0,1,5,,,,mountains,streams,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2130,2twpj,"Rock outcrop, granitic-Typic Cryorthents, warm complex, 30 to 90 percent slopes",order 3,2766855,2-SON SEKI,2292988,Rock outcrop,granitic,50,9734,yes,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,21,40,57,34,37,41,60,80,95,8610,10320,12220,30,60,90,180,360,0,mountains,mountain slopes,,,convex/convex,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2130,2twpj,"Rock outcrop, granitic-Typic Cryorthents, warm complex, 30 to 90 percent slopes",order 3,2766855,2-SON SEKI,2292986,Typic Cryorthents,warm,25,4867,yes,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AB010CA,Subalpine Sandy Talus,,,,,,,,,,21,40,57,34,37,41,60,80,95,8610,10480,12220,30,47,75,300,90,270,mountains,talus slopes on mountain slopes,mountainflank,backslope,linear/linear,talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.1,0.5,0.4,0.4,2,STX-LS,5,2,43,65,42,100,5,80,36,15,38,21,19,47,0.3,0,0,structureless massive structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2130,2twpj,"Rock outcrop, granitic-Typic Cryorthents, warm complex, 30 to 90 percent slopes",order 3,2766855,2-SON SEKI,2669337,Glacierpoint,,10,1947,no,series,Inceptisols,Cryepts,Humicryepts,Xeric Humicryepts,sandy-skeletal,umbric epipedon(0-12),Cryic,Typic,Xeric,22A,R022AB010CA,Subalpine Sandy Talus,,,,,,,,,,21,40,57,34,37,41,60,80,95,8610,10060,12220,30,60,75,155,270,90,mountains,talus slopes on mountain slopes,lower third of mountainflank,backslope,convex/convex,colluvium derived from granite,,,,,,59,,0,high,high,high,0.2,0.3,1.1,0.6,1,2.9,GRV-LS,15,4,19,45,19,63,35,5,38,19,45,12,12,33,0.09,4,5,strong very fine granular structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2130,2twpj,"Rock outcrop, granitic-Typic Cryorthents, warm complex, 30 to 90 percent slopes",order 3,2766855,2-SON SEKI,2292987,Canisrocks,,8,1557,no,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,F022AB100CA,"Subalpine, sandy-skeletal, moderately steep slopes",,,,,,,,,"PIAL, PIBA, PICOM",21,40,57,34,37,41,60,80,95,8610,10560,12220,30,60,75,271,360,0,mountains,mountain slopes,mountainflank,backslope,linear/linear,colluvium and/or till derived from granite,,,,,,63,,2,high,high,high,0.2,0.5,0.8,0.6,1.6,2.5,STV-SL,15,7,38,22,14,53,0,0,23,16,27,11,11,33,0.09,8,15,weak fine subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2130,2twpj,"Rock outcrop, granitic-Typic Cryorthents, warm complex, 30 to 90 percent slopes",order 3,2766855,2-SON SEKI,2405869,Isosceles,,5,973,no,series,Inceptisols,Cryepts,Humicryepts,Lithic Humicryepts,loamy,"umbric epipedon(0-9), cambic horizon(9-17), lithic contact(17-79)",Cryic,Typic,Xeric,22A,R022AB006CA,Bedrock Fissures,,,,,,,,,,21,40,57,34,37,41,60,80,95,8610,11050,12220,2,2,30,40,360,0,mountains,structural benches on mountain slopes,mountainflank,backslope,linear/convex,slope alluvium over residuum weathered from granite,Lithic bedrock,10,17,20,,17,,0,high,high,high,0.5,1.1,1.7,1.1,1.9,2.9,LFS,10,2,48,7,2,38,5,1,10,0,23,2,0,12,0.16,4,14,weak fine granular structure,4.5,5.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2130,2twpj,"Rock outcrop, granitic-Typic Cryorthents, warm complex, 30 to 90 percent slopes",order 3,2766855,2-SON SEKI,2669338,Forgotten,steep,2,389,no,series,Inceptisols,Cryepts,Humicryepts,Oxyaquic Humicryepts,sandy-skeletal,"ochric epipedon(0-7), redox concentrations(22-59)",Cryic,Oxyaquic,Xeric,22A,R022AX002CA,Cryic moist talus slopes,,,,,,,,,,21,40,57,34,37,41,60,80,95,8610,9520,12220,10,13,35,115,360,0,mountains,high gradient drainageways on mountain slopes,lower third of mountainflank,footslope,concave/concave,colluvium and/or slope alluvium derived from granite,,,,,,59,,1,high,high,high,0.5,0.6,1.9,0.9,1.3,4.3,GRX-COS,2,0,10,18,2,33,20,0,21,18,40,4,7,30,0.09,15,15,structureless single grain structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,20,39,"January, February, March, April, May, June, July, August, September, October, November, December",moderately well,frequent,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2405936,Siberian,dry,40,3837,yes,series,Entisols,Orthents,Cryorthents,Vitrandic Cryorthents,sandy-skeletal,"ochric epipedon(0-7), densic contact(59-69), densic materials(59-69)",Cryic,Typic,Xeric,22A,F022AB114CA,Very Deep Southern Sandy Skeletal Slopes,,,,,,,,,"PIBA, PICOM",22,34,50,34,37,39,60,70,95,8420,10090,11530,15,33,60,310,360,0,mountains,moraines on glacial-valley walls,lower third of mountainflank,footslope,linear/linear,till derived from granite,Densic material,39,59,79,,69,,1,high,high,high,0.7,0.9,1.3,1.1,1.8,2.9,CBV-LS,25,2,33,24,4,76,20,0,26,13,37,13,12,37,0.17,15,15,weak fine subangular blocky structure parts to weak fine granular structure,5,5.8,5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2669341,Rockcreek,,15,1439,yes,series,Inceptisols,Aquepts,Cryaquepts,Histic Cryaquepts,sandy-skeletal,"histic epipedon(0-10), aquic conditions(0-79), redox concentrations(16-65), redox depletions with chroma 2 or less(30-47)",Cryic,Typic,Aquic,22A,R022AX009CA,Subalpine Discharge Slopes,,,,,,,,,,22,34,50,34,37,39,60,70,95,8420,10050,11530,10,25,30,4,360,0,mountains,seeps on glacial-valley walls,lower third of mountainflank,"backslope, footslope",concave/linear,"organic material over alluvium, slope alluvium, and/or till derived from granite",,,,,,65,,16,moderately high,moderately high,moderately high,3,4,5.4,4.7,6.6,9.5,MUCK,0,1,14,5,2,43,0,0,26,23,52,2,2,25,0.02,25,25,structureless massive structure,5.6,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,10,20,"May, June, July",poorly,occasional,very brief,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2405940,Typic Cryorthents,warm,10,959,no,family,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,R022AB010CA,Subalpine Sandy Talus,,,,,,,,,,22,34,50,34,37,39,60,70,95,8420,10480,11530,30,47,60,300,90,270,mountains,talus slopes on glacial-valley walls,mountainflank,backslope,linear/linear,talus derived from granite,,,,,,59,,0,high,high,high,0.1,0.1,0.5,0.4,0.4,2,STX-LS,5,2,43,65,42,100,5,80,36,15,38,21,19,47,0.3,0,0,structureless massive structure,4.5,6,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2405935,Canisrocks,dry,10,959,no,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,F022AB114CA,Very Deep Southern Sandy Skeletal Slopes,,,,,,,,,"PIBA, PICOM",22,34,50,34,37,39,60,70,95,8420,10920,11530,30,32,60,340,360,0,mountains,glacial-valley walls,mountainflank,backslope,linear/linear,colluvium derived from granite and/or till derived from granite,,,,,,65,,0,high,high,high,0.1,0.1,0.5,0.4,0.4,2,CBV-COS,30,2,33,40,4,81,32,25,33,16,44,14,13,42,0.23,1,1,weak medium subangular blocky structure,5,6,5.1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2405939,McGee,,8,767,no,series,Inceptisols,Cryepts,Dystrocryepts,Vitrixerandic Dystrocryepts,loamy-skeletal,"ochric epipedon(0-7), albic horizon(6-12), cambic horizon(12-31), redox concentrations(22-31), densic materials(31-59), densic contact(31-59), reduced matrix(31-59)",Cryic,Oxyaquic,Xeric,22A,F022AB108CA,Very Deep Skeletal Concave North Slopes,,,,,,,,,"PIAL, PICOM",22,34,50,34,37,39,60,70,95,8420,10440,11530,3,10,30,46,360,0,mountains,swales on glacial-valley walls,mountainflank,"footslope, toeslope",concave/concave,colluvium and/or till derived from granite,Densic material,20,31,39,,59,,6,high,moderately high,moderately high,0.4,0.7,1,1.8,3.6,4.7,STV-LS,0,0,10,7,2,33,0,5,15,18,34,6,7,28,0.11,2,15,weak fine subangular blocky structure,4.5,5.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,10,30,"May, June, July",moderately well,none,,frequent,brief,4,0,2
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2669351,Isosceles,warm,7,671,no,series,Inceptisols,Cryepts,Humicryepts,Lithic Humicryepts,loamy,"umbric epipedon(0-15), lithic contact(15-79)",Cryic,Typic,Xeric,22A,R022AB004CA,Shallow Sandy Bedrock Slopes,,,,,,,,,,22,34,50,34,37,39,60,70,95,8420,9630,11530,15,40,45,130,360,0,mountains,structural benches on glacial-valley walls,center third of mountainflank,backslope,convex/linear,colluvium over residuum weathered from granite,Lithic bedrock,10,15,20,,15,,0,high,high,high,0.5,0.6,1.7,0.8,1,2.5,GR-LS,10,2,48,7,2,38,20,0,22,0,27,0,0,8,0.23,4,9,weak medium granular structure,4.5,5.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,well,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2405938,Rock outcrop,granitic,5,480,no,miscellaneous area,,,,,,,,,,22A,,,,,,,,,,,,22,34,50,34,37,39,60,70,95,8420,10020,11530,45,50,90,180,360,0,mountains,glacial-valley walls,,,linear/linear,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2133,2w86r,"Siberian, dry-Rockcreek complex, 10 to 60 percent slopes",order 3,2924695,2-SON SEKI,2669343,Glacierpoint,,5,480,no,series,Inceptisols,Cryepts,Humicryepts,Xeric Humicryepts,sandy-skeletal,umbric epipedon(0-12),Cryic,Typic,Xeric,22A,R022AB010CA,Subalpine Sandy Talus,,,,,,,,,,22,34,50,34,37,39,60,70,95,8420,10060,11530,30,60,75,155,270,90,mountains,talus slopes on glacial-valley walls,mountainflank,backslope,convex/convex,colluvium derived from granite,,,,,,59,,0,high,high,high,0.2,0.3,1.1,0.6,1,2.9,GRV-LS,15,4,19,45,19,63,35,5,38,19,45,12,12,33,0.09,4,5,strong very fine granular structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
CA792,"Sequoia and Kings Canyon National Parks, California",2137,2tbf2,"Canisrocks-Typic Cryorthents, warm-Rock outcrop, granitic complex, 30 to 100 percent slopes",order 3,2777244,2-SON SEKI,2669339,Canisrocks,,23,6354,yes,series,Entisols,Orthents,Cryorthents,Typic Cryorthents,sandy-skeletal,ochric epipedon(0-7),Cryic,Typic,Xeric,22A,F022AB100CA,"Subalpine, sandy-skeletal, moderately steep slopes",,,,,,,,,,25,35,55,32,36,39,55,75,100,7460,10560,12370,30,60,75,271,360,0,mountains,mountain slopes,center third of mountainflank,backslope,linear/linear,colluvium and/or till derived from granite,,,,,,63,,2,high,high,high,0.2,0.5,0.8,0.6,1.6,2.5,STV-SL,15,7,38,22,14,53,0,0,23,16,27,11,11,33,0.09,8,15,weak fine subangular blocky structure,5.1,6.5,5.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,somewhat excessively,none,,none,,,,
